condition,method,peak_external_N,impact_impulse_Ns,peak_internal_N,peak_desired_internal_N,peak_friction_utilization,friction_violation_ms,peak_estimated_slip_mm,object_dropped,baseline_removed_N
Low,SIFR,1.1811335,1.1092744986647474,4.82934,4.5,0.6350324867620638,0.0,0.11299999999999999,0,0.0284165
Low,DIFR,1.551787,3.2340479126685,7.611777,10.0,0.6070664883816094,0.0,0.0,0,0.013615
Medium,SIFR,2.300954,4.4968747112207526,6.617825,4.5,0.8941826214678691,0.0,2.267,0,-0.07719899999999999
Medium,DIFR,2.1669575,0.9727624240050021,9.053248,10.0,0.6547628682196743,0.0,0.0,0,0.031055
High,SIFR,2.7284105,0.684433656781255,7.744411,4.5,45.48691108217303,46.939999999999316,14.555,1,-0.0345475
High,DIFR,2.7376925,2.672293391029252,8.189662,10.0,0.9063450778381255,0.0,50.0,0,0.001826
