condition,method,peak_external_N,impact_impulse_Ns,peak_internal_N,peak_desired_internal_N,peak_friction_utilization,friction_violation_ms,peak_estimated_slip_mm,object_dropped,baseline_removed_N
Low,SIFR,1.770992,1.1045102965934996,5.100126,4.5,0.905909865862579,0.0,0.0,0,0.006213
Low,DIFR,1.711055,5.615239329133001,4.931047,5.420101,0.9626254346891256,0.0,0.0,0,0.006249
Medium,SIFR,2.5814,1.197603765533997,4.986295,4.5,1.3972906397008085,214.71299999999616,30.173,0,0.095189
Medium,DIFR,2.7602320000000002,13.578008672051496,6.503376,10.387105,1.396711259823359,155.01599999998916,23.975,0,0.00034599999999999995
High,SIFR,3.750731,2.781908372426007,5.905644,4.5,7.744734975180668,854.2499999998512,81.25,1,0.010661
High,DIFR,3.802599,12.6828423919055,6.391039,12.0,1.7930811110167553,525.9684999999052,67.69,0,0.005497
