condition,method,peak_external_N,impact_impulse_Ns,peak_internal_N,peak_desired_internal_N,peak_friction_utilization,friction_violation_ms,peak_estimated_slip_mm,baseline_removed_N
Low,SIFR,1.429833,11.244511941863006,5.139997,5.5,1.5523498935457443,8239.102499999848,0.0,-0.005841
Low,DIFR,1.5419875,8.613113048218,5.104025,10.0,2.0757125661319042,7876.116000000188,0.0,-0.0068595
Medium,SIFR,2.576531,17.458827187655,4.944555,5.5,2.0858755654519983,7063.136000000668,17301.764,0.001611
Medium,DIFR,2.9636345,5.723763269148002,5.04362,10.0,4.662353686842159,456.25499999997743,0.0,-0.008861500000000001
High,SIFR,3.9745605,0.27215830988500717,10.430228,5.5,8.753033534860888,154.58700000000647,26.147,0.0047725
High,DIFR,3.8307599999999997,26.68992833186349,9.563583,10.0,1.8011227889064145,8384.742999999653,50.0,0.008945
