timestamp_s,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky,Left_Thumb,Left_Index,Left_Middle,Left_Ring,Left_Pinky
0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
