timestamp_s,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky,Left_Thumb,Left_Index,Left_Middle,Left_Ring,Left_Pinky
0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
2.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
2.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
3.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
