timestamp_s,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky,Left_Thumb,Left_Index,Left_Middle,Left_Ring,Left_Pinky
0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
