timestamp_s,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky,Left_Thumb,Left_Index,Left_Middle,Left_Ring,Left_Pinky
0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
