timestamp_s,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky,Left_Thumb,Left_Index,Left_Middle,Left_Ring,Left_Pinky
0.046,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.047,0,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0,0
0.144,0,0,0,0,0,0,0,0,0,0
0.235,0,0,0,0,0,0,0,0,0,0
0.238,0,0,0,0,0,0,0,0,0,0
0.334,0,0,0,0,0,0,0,0,0,0
0.336,0,0,0,0,0,0,0,0,0,0
0.436,0,0,0,0,0,0,0,0,0,0
0.447,0,0,0,0,0,0,0,0,0,0
0.526,0,0,0,0,0,0,0,0,0,0
0.535,0,0,0,0,0,0,0,0,0,0
0.636,0,0,0,0,0,0,0,0,0,0
0.638,0,0,0,0,0,0,0,0,0,0
0.735,0,0,0,0,0,0,0,0,0,0
0.738,0,0,0,0,0,0,0,0,0,0
0.826,0,0,0,0,0,0,0,0,0,0
0.835,0,0,0,0,0,0,0,0,0,0
0.935,0,0,0,0,0,0,0,0,0,0
0.942,0,0,0,0,0,0,0,0,0,0
1.031,0,0,0,0,0,0,0,0,0,0
1.035,0,0,0,0,0,0,0,0,0,0
1.131,0,0,0,0,0,0,0,0,0,0
1.135,0,0,0,0,0,0,0,0,0,0
1.242,0,0,0,0,0,0,0,0,0,0
1.244,0,0,0,0,0,0,0,0,0,0
1.335,0,0,0,0,0,0,0,0,0,0
1.342,0,0,0,0,0,0,0,0,0,0
1.434,0,0,0,0,0,0,0,0,0,0
1.441,0,0,0,0,0,0,0,0,0,0
1.535,0,0,0,0,0,0,0,0,0,0
1.543,0,0,0,0,0,0,0,0,0,0
1.627,0,0,0,0,0,0,0,0,0,0
1.635,0,0,0,0,0,0,0,0,0,0
1.739,0,0,0,0,0,0,0,0,0,0
1.741,0,0,0,0,0,0,0,0,0,0
1.831,0,0,0,0,0,0,0,0,0,0
1.85,0,0,0,0,0,0,0,0,0,0
1.926,0,0,0,0,0,0,0,0,0,0
1.95,0,0,0,0,0,0,0,0,0,0
2.03,0,0,0,0,0,0,0,0,0,0
2.05,0,0,0,0,0,0,0,0,0,0
2.138,0,0,0,0,0,0,0,0,0,0
2.141,0,0,0,0,0,0,0,0,0,0
2.239,0,0,0,0,0,0,0,0,0,0
2.251,0,0,0,0,0,0,0,0,0,0
2.327,0,0,0,0,0,0,0,0,0,0
2.342,0,0,0,0,0,0,0,0,0,0
2.43,0,0,0,0,0,0,0,0,0,0
2.442,0,0,0,0,0,0,0,0,0,0
2.526,0,0,0,0,0,0,0,0,0,0
2.535,0,0,0,0,0,0,0,0,0,0
2.627,0,0,0,0,0,0,0,0,0,0
2.635,0,0,0,0,0,0,0,0,0,0
2.726,0,0,0,0,0,0,0,0,0,0
2.735,0,0,0,0,0,0,0,0,0,0
2.828,0,0,0,0,0,0,0,0,0,0
2.846,0,0,0,0,0,0,0,0,0,0
2.935,0,0,0,0,0,0,0,0,0,0
2.946,0,0,0,0,0,0,0,0,0,0
3.027,0,0,0,0,0,0,0,0,0,0
3.035,0,0,0,0,0,0,0,0,0,0
3.127,0,0,0,0,0,0,0,0,0,0
3.155,0,0,0,0,0,0,0,0,0,0
3.239,0,0,0,0,0,0,0,0,0,0
3.241,0,0,0,0,0,0,0,0,0,0
3.328,0,0,0,0,0,0,0,0,0,0
3.335,0,0,0,0,0,0,0,0,0,0
3.434,0,0,0,0,0,0,0,0,0,0
3.446,0,0,0,0,0,0,0,0,0,0
3.534,0,0,0,0,0,0,0,0,0,0
3.541,0,0,0,0,0,0,0,0,0,0
3.628,0,0,0,0,0,0,0,0,0,0
3.643,0,0,0,0,0,0,0,0,0,0
3.739,0,0,0,0,0,0,0,0,0,0
3.742,0,0,0,0,0,0,0,0,0,0
3.834,0,0,0,0,0,0,0,0,0,0
3.836,0,0,0,0,0,0,0,0,0,0
3.927,0,0,0,0,0,0,0,0,0,0
3.936,0,0,0,0,0,0,0,0,0,0
4.027,0,0,0,0,0,0,0,0,0,0
4.036,0,0,0,0,0,0,0,0,0,0
4.134,0,0,0,0,0,0,0,0,0,0
4.136,0,0,0,0,0,0,0,0,0,0
4.227,0,0,0,0,0,0,0,0,0,0
4.246,0,0,0,0,0,0,0,0,0,0
