condition,method,peak_external_N,impact_impulse_Ns,peak_internal_N,peak_desired_internal_N,peak_friction_utilization,friction_violation_ms,peak_estimated_slip_mm,object_dropped,baseline_removed_N
Low,SIFR,1.4892485,0.5461907994114961,4.82934,4.5,0.8470211443535924,0.0,0.11299999999999999,0,0.0284165
Low,DIFR,1.632046,3.2922638677779985,7.611777,10.0,0.6384641926354918,0.0,0.0,0,0.013615
Medium,SIFR,2.3196329999999996,4.489197841789501,6.617825,4.5,0.9490307164476562,0.0,2.267,0,-0.07719899999999999
Medium,DIFR,2.255517,1.0225915717790008,9.053248,10.0,0.7272980995137245,0.0,0.0,0,0.031055
High,SIFR,2.8957105,0.6951036332475012,7.744411,4.5,0.9347742843193625,0.0,12.383,1,-0.0345475
High,DIFR,2.787783,2.6477973425680017,8.189662,10.0,0.91819190593699,0.0,50.0,0,0.001826
